periodFullName,isProcessed,fileName,Velocity_Band_6_Total_Duration,Velocity_Band_6_Total_Distance,Velocity_Band_5_Total_Duration,Velocity_Band_5_Total_Distance,Velocity_Band_4_Total_Duration,Velocity_Band_4_Total_Distance,Velocity_Band_3_Total_Duration,Velocity_Band_3_Total_Distance,Velocity_Band_2_Total_Duration,Velocity_Band_2_Total_Distance,Velocity_Band_1_Total_Duration,Velocity_Band_1_Total_Distance,Veld_grootte,Total_Duration,Total_Distance,Team_id,TableRow_skey,Start_Time,Soort_training,Session_Count,Remark3,Remark2,Remark,Player_id,Period_Number,Period_Name,Mean_Heart_Rate,Maximum_Velocity,Maximum_Heart_Rate,LoadDateTime,IMA_Jump_Count_Med_Band,IMA_Jump_Count_Low_Band,IMA_Jump_Count_High_Band,IMA_Dive_Intensity_Band_8_Right_Count,IMA_Dive_Intensity_Band_8_Left_Count,IMA_Dive_Intensity_Band_7_Right_Count,IMA_Dive_Intensity_Band_7_Left_Count,IMA_Dive_Intensity_Band_6_Right_Count,IMA_Dive_Intensity_Band_6_Left_Count,IMA_Dive_Intensity_Band_5_Right_Count,IMA_Dive_Intensity_Band_5_Left_Count,IMA_Dive_Intensity_Band_4_Right_Count,IMA_Dive_Intensity_Band_4_Left_Count,IMA_Dive_Intensity_Band_3_Right_Return_Band_3_Count,IMA_Dive_Intensity_Band_3_Right_Return_Band_2_Count,IMA_Dive_Intensity_Band_3_Right_Return_Band_1_Count,IMA_Dive_Intensity_Band_3_Right_Count,IMA_Dive_Intensity_Band_3_Left_Return_Band_3_Count,IMA_Dive_Intensity_Band_3_Left_Return_Band_2_Count,IMA_Dive_Intensity_Band_3_Left_Return_Band_1_Count,IMA_Dive_Intensity_Band_3_Left_Count,IMA_Dive_Intensity_Band_2_Right_Return_Band_3_Count,IMA_Dive_Intensity_Band_2_Right_Return_Band_2_Count,IMA_Dive_Intensity_Band_2_Right_Return_Band_1_Count,IMA_Dive_Intensity_Band_2_Right_Count,IMA_Dive_Intensity_Band_2_Left_Return_Band_3_Count,IMA_Dive_Intensity_Band_2_Left_Return_Band_2_Count,IMA_Dive_Intensity_Band_2_Left_Return_Band_1_Count,IMA_Dive_Intensity_Band_2_Left_Count,IMA_Dive_Intensity_Band_1_Right_Return_Band_3_Count,IMA_Dive_Intensity_Band_1_Right_Return_Band_2_Count,IMA_Dive_Intensity_Band_1_Right_Return_Band_1_Count,IMA_Dive_Intensity_Band_1_Right_Count,IMA_Dive_Intensity_Band_1_Left_Return_Band_3_Count,IMA_Dive_Intensity_Band_1_Left_Return_Band_2_Count,IMA_Dive_Intensity_Band_1_Left_Return_Band_1_Count,IMA_Dive_Intensity_Band_1_Left_Count,Heart_Rate_Index,Heart_Rate_Band_6_Total_Duration,Heart_Rate_Band_5_Total_Duration,Heart_Rate_Band_4_Total_Duration,Heart_Rate_Band_3_Total_Duration,Heart_Rate_Band_2_Total_Duration,Heart_Rate_Band_1_Total_Duration,Field_Time,ExcludeHR,Exclude,End_Time,Date,Bench_Time,AM_PM
Leann,false,Sub-Ex,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,574,830,8314,50,fb2ecbf4-2d15-4566-bdb9-d426907429fb,12:13:32,Games,82,9,11,8,706,879,positiespel,154,273,105,23:29:41,19,3,7,16,3,64,38,94,79,78,6,83,40,37,6,9,43,25,40,75,79,41,21,88,33,34,4,25,74,20,24,17,53,34,14,71,86,7,75,78,54,15,61,33,6:29:32,true,false,6:08:01,1/16/2012,874,AM
Silas,false,Cardify,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,781,20,9159,5,77c77264-9d8e-4dd8-b44a-ed9ede75cede,5:27:11,Computers,94,2,1,4,1914,983,w-up,86,258,191,5:26:46,87,63,94,77,56,83,72,32,85,97,2,12,27,29,37,26,24,74,10,14,77,38,1,85,65,60,39,72,96,28,74,84,37,31,16,74,82,52,22,72,91,1,91,72,3:49:32,false,false,16:55:24,9/10/2012,319,PM
Jackelyn,false,Duobam,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,389,271,1355,7,2c948abd-6bbe-4d1a-9f8b-cd1d8d356393,22:24:57,Movies,60,11,25,20,392,974,duels,120,677,137,12:42:54,49,8,75,72,48,21,44,11,58,82,77,38,69,61,65,100,56,2,9,17,61,63,20,9,88,92,88,5,20,73,42,86,11,31,85,84,56,19,93,35,79,45,11,95,17:26:41,true,false,4:15:45,2/4/2012,738,PM
Ganny,true,Zaam-Dox,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,971,216,5879,33,2aa41088-3488-446c-be6d-832d093b4d7e,6:31:55,Grocery,29,1,14,24,435,92,positiespel,158,857,89,3:27:20,69,68,19,1,6,47,12,19,69,51,40,28,35,32,72,54,6,89,69,67,65,37,1,6,63,81,57,94,48,6,22,63,47,68,84,58,63,99,6,25,79,39,86,91,4:42:53,true,false,8:12:55,12/17/2013,670,AM
Trisha,false,Ronstring,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,198,427,7816,18,d47f8c9d-9a9f-48f1-9669-776a3cf3aad4,21:17:19,Tools,43,8,6,22,1591,510,duels,143,746,176,19:12:38,34,96,87,52,95,4,44,76,19,40,12,77,41,80,28,19,3,85,10,60,59,28,3,98,16,5,16,9,94,46,98,66,31,90,50,50,50,66,89,29,31,19,60,84,15:23:33,false,false,11:34:08,2/25/2017,151,PM
Dacey,false,Quo Lux,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,420,23,955,4,b9d945c3-fa58-45d3-9354-20e5cfdf4370,21:26:57,Grocery,10,6,23,4,659,289,positiespel,101,441,143,18:21:47,67,88,70,62,29,12,22,53,44,55,59,55,56,37,19,51,8,20,46,90,11,57,7,17,72,21,87,79,22,13,92,42,35,21,59,7,54,99,78,9,23,80,85,72,5:34:43,false,false,21:52:35,5/21/2011,937,PM
Sonny,true,Bytecard,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,868,198,3189,42,60303f37-624b-4031-ba44-62f50523f26a,23:23:03,Beauty,100,14,10,4,888,255,partijspel,92,142,82,7:57:54,4,37,9,1,9,8,62,14,16,30,46,24,81,79,66,9,91,97,47,14,66,48,42,38,20,90,86,67,53,34,97,98,41,99,98,44,5,41,35,60,30,47,19,90,13:38:06,true,false,19:59:47,5/28/2013,134,AM
Marget,true,Sonsing,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,882,606,3804,12,ce1171fd-568c-4a2c-8d46-68200d5f9e4e,23:39:58,Garden,55,21,11,8,1280,486,positiespel,156,352,102,18:05:02,60,69,62,62,75,1,100,49,77,44,56,36,42,57,37,30,90,25,47,79,36,1,81,34,56,71,13,89,53,40,65,61,9,84,43,56,86,41,99,45,36,73,49,85,0:56:34,true,true,4:59:40,1/12/2017,315,AM
Melisent,true,Domainer,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,86,602,160,6,7434fc80-2a4d-4987-b3d6-d8c99b2569b2,6:24:14,Clothing,74,24,3,4,1088,618,afwerken,95,944,201,23:24:05,79,45,78,5,42,99,44,90,79,56,27,98,53,83,54,10,42,15,48,72,73,88,47,70,21,57,71,34,80,90,8,19,70,6,47,24,86,63,64,12,76,70,71,22,14:44:11,false,false,2:43:28,2/8/2014,504,PM
Glenda,true,Bitchip,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,107,191,3232,42,c1bdf720-62e5-48e3-a600-a44ad92f6029,12:19:09,Computers,81,5,16,5,1294,784,w-up,102,935,127,9:13:01,90,70,84,7,80,4,10,76,84,96,80,91,40,97,37,55,14,12,58,99,29,5,87,31,66,39,51,90,53,62,82,68,96,84,12,67,46,69,43,21,75,22,60,82,16:24:39,true,true,16:03:44,2/28/2015,655,PM
