Date,Time,Team_id,Activity_Team,Player_id,Exercise_Name,Exercise_nr,Exercise_name_toevoeging,Comment,Exercise_Part,Veldgrootte,Duration,System,Activity,Positie_wedstrijd,Total_Distance,Distance_0_B_7_km_u,Distance_7_B_12_km_u,Distance_12_B_15_km_u,Distance_15_B_17_DOT_5_km_u,High_Intensity_Distance_17_DOT_5_B_22_DOT_5_km_u,Sprint_Distance_BT_22_DOT_5_km_u,High_Intensity_Distance_BT_17_DOT_5_km_u,Accelerations_Low,Accelerations_Medium,Accelerations_High,Heart_Rate_Low,Heart_Rate_Medium,Heart_Rate_High,Heart_Rate_BT_86,Heart_Rate_86_B_93,Heart_Rate_BT_93,Maximum_Heart_Rate,Relative_Maximum_Heart_Rate,Mean_HR,Relative_Mean_HR,HR_Index,Maximum_Velocity,Error_XY,Error_HR,Comments,AM_PM,DaysBeforeMatch,DaysAfterMatch,id,Entered_datetime
1/11/2014,7:04,47,3,690,magna,96,est,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",79,221,454,15,111,6,17,23,99,41,35,49,85,63,16,1,12,53,141,145,78,72,77,173,95,85,79,87,51,false,false,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",PM,2,27,461,8/15/2013
6/17/2013,11:16,8,12,1010,vulputate,35,"","Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",15,32,40,11,137,9,16,39,43,39,89,23,36,43,17,47,42,73,88,131,78,87,91,201,27,97,75,76,20,false,true,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,PM,10,28,36,10/12/2014
11/13/2017,23:45,24,18,1419,eros,131,a,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,92,661,842,4,79,9,325,19,25,62,53,68,64,75,33,33,10,68,103,153,71,83,74,106,67,91,97,97,39,true,false,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",PM,48,11,283,12/6/2010
1/28/2013,5:59,6,6,1045,hac,123,vulputate,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,84,547,31,3,172,6,69,92,72,35,21,85,37,70,25,13,34,62,142,122,60,69,60,148,27,108,63,119,31,false,false,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,AM,44,3,455,9/9/2018
9/15/2012,8:25,8,14,1413,et,85,ante,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,9,82,99,8,90,8,842,78,5,92,69,18,84,30,49,31,38,74,138,197,69,75,88,100,79,115,41,105,31,false,false,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.",AM,6,12,134,2/26/2015
7/24/2015,0:25,36,17,1694,est,52,"","Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",81,568,53,14,124,1,988,53,48,29,45,46,97,89,46,8,26,63,84,131,70,83,84,168,32,84,58,104,47,false,false,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",PM,36,2,621,10/30/2015
3/29/2015,23:32,17,10,1087,duis,91,"","Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",53,208,676,1,38,2,560,54,63,7,29,78,47,45,27,12,6,79,120,120,86,61,93,193,41,85,77,83,44,true,true,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",AM,7,22,644,8/17/2013
7/16/2013,12:29,29,16,1843,lobortis,100,"","Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui.",77,728,605,5,107,9,187,73,79,75,17,26,85,23,44,7,6,61,90,182,66,75,60,131,49,90,57,101,40,true,false,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",PM,11,6,667,1/15/2015
6/15/2016,8:33,36,21,1901,ligula,34,in,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,48,353,891,14,39,10,192,84,50,65,18,38,54,13,5,34,19,51,113,180,72,93,77,179,26,89,71,95,56,false,false,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",AM,8,19,52,2/28/2017
2/4/2011,5:17,6,21,132,dolor,96,ut,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,17,126,267,9,132,10,989,96,22,67,45,41,32,91,7,48,14,76,119,192,82,87,88,100,75,106,92,91,39,true,true,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",PM,13,16,204,1/28/2017
