Recording_datetime,Recording_Date,Recording_Time,Exercise_starttime,Exercise_Name,Exercise_Part,Activity,Team_id,Player_id,Athlete_MaxHeartbeat,Distance,HighDistance,Distance_above_15_kmh,HighSprintDistance,TimeinHR4,TimeinHR5,DistanceinSpeed0,DistanceinSpeed1,DistanceinSpeed2,DistanceinSpeed3,DistanceinSpeed4,DistanceinSpeed5,TimeinSpeed4,TimeinSpeed5,Player_role,Speed_Index,Accel_Index,Heart_Rate_1min,Heart_Rate_2min,Heart_Index,Heart_Avarage,HR_Max_Exercise,Heart_Average_Relative,HR_Time,Time,tijdinms,Energy_Cost_J,Power_kg,Opmerkingen,maxSpeed,HRstoring,TPstoring,totoppervlakte,oefeningoppervlakte,oefeningHoogte,oefeningBreedte,typedataset,exercisetype,exerciseremark,tijd_oefening_bruto,TijdPercentage,ACCEL_CAT_1,ACCEL_CAT_2,ACCEL_CAT_3,DECEL_CAT_1,DECEL_CAT_2,DECEL_CAT_3,Speed_BIN0_TIME_S,Speed_BIN1_TIME_S,Speed_BIN2_TIME_S,Speed_BIN3_TIME_S,Speed_BIN4_TIME_S,Speed_BIN5_TIME_S,Speed_BIN0_DISTANCE_M,Speed_BIN1_DISTANCE_M,Speed_BIN2_DISTANCE_M,Speed_BIN3_DISTANCE_M,Speed_BIN4_DISTANCE_M,HR_BIN0_TIME_S,HR_BIN1_TIME_S,HR_BIN2_TIME_S,HR_BIN3_TIME_S,HR_BIN4_TIME_S,HR_BIN5_TIME_S,HR_BIN0_DISTANCE_M,HR_BIN1_DISTANCE_M,HR_BIN2_DISTANCE_M,HR_BIN3_DISTANCE_M,HR_BIN4_DISTANCE_M,HR_BIN5_DISTANCE_M,Acc_BIN0_TIME_S,Acc_BIN1_TIME_S,Acc_BIN2_TIME_S,Acc_BIN3_TIME_S,Acc_BIN4_TIME_S,Acc_BIN5_TIME_S,Dec_BIN0_TIME_S,Dec_BIN1_TIME_S,Dec_BIN2_TIME_S,Dec_BIN3_TIME_S,Dec_BIN4_TIME_S,Dec_BIN5_TIME_S,Acc_BIN0_DISTANCE_M,Acc_BIN1_DISTANCE_M,Acc_BIN2_DISTANCE_M,Acc_BIN3_DISTANCE_M,Acc_BIN4_DISTANCE_M,Acc_BIN5_DISTANCE_M,Dec_BIN0_DISTANCE_M,Dec_BIN1_DISTANCE_M,Dec_BIN2_DISTANCE_M,Dec_BIN3_DISTANCE_M,Dec_BIN4_DISTANCE_M,Dec_BIN5_DISTANCE_M,Power_BIN0_TIME_S,Power_BIN1_TIME_S,Power_BIN2_TIME_S,Power_BIN3_TIME_S,Power_BIN4_TIME_S,Power_BIN5_TIME_S,Power_BIN0_DISTANCE_M,Power_BIN1_DISTANCE_M,Power_BIN2_DISTANCE_M,Power_BIN3_DISTANCE_M,Power_BIN4_DISTANCE_M,Power_BIN5_DISTANCE_M,DaysBeforeMatch,DaysAfterMatch,TA_ID,DTS_ID,Data_Source,DT_ID,TP_ID,ANL_ID,PRT_ID,EXR_ID,GRP_ID,AM_PM,Exclude,ExcludeHR,TableRow_skey,LoadDateTime,Speed_BIN5_DISTANCE_M,Athlete_Name
2016/02/27,2017/11/04,6:06:16,9:47:55,Marketing,53-614-5926,GH,30,1340,172,3439,783,719,224,388,96,484,449,274,290,173,319,128,325,Training,71,54,183,58,26,65,99,1,1785,711,15,735,201,nulla nunc purus phasellus in felis donec,33,false,false,286,382,54,44,1,3,3,389,86,1680,1364,1099,1464,110,927,821,1016,113,1559,1600,553,1848,1666,1921,1016,491,1170,1616,1154,1210,1252,62,176,723,1771,757,155,268,743,419,57,909,512,1013,1226,1567,1460,845,1685,1586,1820,827,190,1197,1218,1570,1619,1166,805,775,1829,186,761,724,737,658,1387,1953,190,647,1460,463,1843,1743,50,25,53,54,6,99,49,6,33,63,98,AM,true,true,2a26d5cf-7fda-43f5-bc02-33db69cc1a90,10:10:15,592,Ali
2013/09/13,2018/03/24,4:13:09,18:13:09,Services,75-218-2834,TU,32,1639,211,2755,1823,339,32,380,496,132,386,479,164,28,334,363,170,Training,81,14,4,25,44,174,119,72,41,89,1746,735,15,curae duis faucibus accumsan odio,14,true,false,293,327,53,16,1,25,5,15,3,1994,456,1547,1489,928,1143,855,1986,35,325,130,678,405,1165,364,793,570,658,965,506,1857,1399,1394,816,744,117,924,1701,709,144,218,1593,921,176,1561,1705,153,942,262,69,509,576,1520,1225,992,698,1863,1712,1865,804,1968,1071,1694,256,1676,1116,1922,1085,649,336,357,752,1751,1787,1375,54,8,45,11,1,42,92,70,67,43,42,AM,true,false,299c9b2d-b650-4e85-b576-b0778c9573fd,2:14:09,1660,Gabriellia
2011/12/20,2018/09/12,0:24:53,20:39:43,Business Development,24-109-3169,CD,27,1390,191,4329,1289,419,286,352,403,235,218,327,489,283,441,356,444,Human Resources,49,89,52,148,53,124,90,10,1047,847,1608,208,421,lacus at velit vivamus vel nulla eget eros elementum,9,false,true,249,622,64,16,6,12,10,801,13,787,177,114,1203,1533,1583,1208,1447,421,1175,72,1803,1065,215,821,1189,1896,31,1770,875,667,607,64,773,1352,1603,1347,768,685,896,21,180,816,826,140,1259,178,1586,261,512,1284,1274,86,315,1690,478,173,1331,890,18,1986,376,1713,490,1768,1791,1841,304,1048,1479,853,1389,1327,1880,6,62,54,90,68,10,98,48,93,28,43,36,AM,true,false,31bb0466-461e-4877-bb44-afc395434e2e,6:55:10,331,Conchita
2012/02/12,2015/07/31,5:52:33,18:21:01,Business Development,24-783-4928,MN,17,513,138,4465,287,118,328,304,365,360,242,186,263,24,100,116,391,Human Resources,71,76,116,150,26,79,96,1,685,828,159,458,462,auctor gravida sem praesent id massa id nisl venenatis lacinia,25,false,true,62,490,62,43,5,11,9,715,28,255,1255,667,1980,1954,1575,1682,882,1541,590,593,1915,1451,539,1919,1616,423,1216,1212,362,1597,1755,1670,1452,197,1343,850,240,98,1498,1394,690,41,1028,1046,1262,1908,927,1186,1811,1326,1450,1550,700,1566,1502,1808,1047,556,1609,88,398,493,312,1233,1358,1607,116,771,281,221,1335,147,498,1119,81,17,37,1,4,20,94,26,9,93,41,PM,true,false,f86f25d7-cb00-45d0-8661-e24ec6ba0842,17:23:55,1624,Fulton
2018/12/02,2019/02/01,10:51:35,14:38:54,Marketing,67-459-3347,OP,37,1296,208,3399,683,299,292,444,138,280,470,381,36,72,295,294,105,Accounting,24,24,158,75,6,92,164,30,228,704,1462,893,7,platea dictumst etiam faucibus cursus urna,31,true,true,586,272,33,67,3,14,6,1301,49,583,1518,83,1496,103,804,1443,934,850,1142,853,1873,1806,954,1222,1043,1152,333,510,256,1495,72,742,147,1680,177,1948,200,1077,1592,803,1037,1634,1621,387,928,1609,832,1215,1052,728,852,873,947,281,194,926,42,1715,637,25,865,810,1887,1353,1408,1935,1716,1722,1995,75,488,177,1442,890,43,34,54,98,3,31,51,34,79,53,56,PM,false,false,a4a274b8-4847-49b3-acb0-54338b33ffd2,23:36:01,547,Gayel
2017/10/09,2013/04/13,9:32:15,13:59:39,Engineering,19-698-7400,QR,13,324,95,4229,599,959,1,329,414,239,133,478,55,327,414,117,448,Sales,27,35,142,103,52,32,97,1,931,1472,1309,758,333,ante ipsum primis in faucibus orci,31,true,false,142,230,76,66,3,6,10,97,5,244,663,661,262,255,330,1178,1251,1909,1786,1859,1426,708,1665,319,1052,1344,492,1140,766,1019,950,235,1207,38,572,95,505,1103,1812,1043,1969,1527,934,501,1867,510,464,1098,348,1574,634,1150,845,1582,1704,1003,1027,1928,29,1103,743,1972,333,1498,923,1688,996,1796,611,891,864,1825,837,1061,4,22,53,67,6,35,53,68,61,79,3,AM,true,true,2fadcb6c-0ece-4335-92dd-23f9b4ff0e17,10:20:47,497,Darcy
2012/03/21,2013/03/01,13:44:40,17:27:18,Legal,59-840-6157,OP,30,635,161,3003,1787,930,439,499,472,316,306,409,232,293,419,55,250,Product Management,73,85,133,194,53,42,92,88,1344,900,465,933,491,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue,39,false,true,504,400,4,28,8,17,8,100,8,1390,1120,880,1033,1488,1373,1913,923,782,285,839,1569,1755,1622,1128,46,1315,1794,1956,1200,1,1417,1826,217,1991,1525,1772,257,1006,944,350,557,2000,1901,788,879,1555,611,1796,230,1643,1878,467,971,76,968,1478,330,3,1275,188,1099,1114,974,1215,949,1311,1924,1773,1850,910,1817,1061,740,461,54,66,91,73,8,18,94,74,29,3,12,AM,false,false,a83e6f05-df0e-4b85-9037-a6d9bb1982bf,23:18:21,1104,Laureen
2016/01/27,2016/04/01,8:50:18,23:57:01,Accounting,05-269-0628,AB,1,1888,179,626,105,919,2,237,86,95,476,246,133,38,419,432,13,Product Management,27,89,85,169,9,85,114,39,567,540,784,908,34,amet nunc viverra dapibus nulla,26,true,false,451,283,38,86,7,16,3,1115,89,827,1743,997,1941,240,1627,1000,1404,1353,983,1656,1711,1713,671,721,1442,1254,1038,728,1173,857,136,1401,1200,970,1872,1370,1729,1214,486,187,360,158,1465,990,230,765,1867,1395,1394,929,434,1074,1294,798,259,1158,1292,1850,779,865,1416,265,747,1333,1374,114,551,851,30,1321,1327,993,310,1272,1,8,53,43,7,69,25,70,75,8,86,AM,true,false,1a4d9c6d-c8a4-48e7-8ef7-e4608fa6f7f9,10:08:27,466,Janela
2012/05/04,2015/04/20,15:10:45,1:01:13,Marketing,12-087-2437,TU,42,815,181,4106,191,241,360,68,411,473,253,450,391,6,440,28,201,Sales,77,75,14,22,3,103,172,69,587,224,589,8,157,nisl duis ac nibh fusce lacus purus aliquet at feugiat,41,false,true,666,951,10,51,3,10,9,688,68,267,161,1702,543,167,1016,1711,1325,789,396,1762,614,290,237,1702,1589,498,1285,307,176,1477,1393,669,248,510,1135,1433,966,1772,318,1607,1359,1180,540,168,158,514,731,1005,885,679,395,640,911,1790,644,1251,1379,1596,400,1743,898,755,74,118,1118,1499,1514,528,81,1179,1375,319,906,241,41,0,50,79,9,99,31,8,63,37,34,AM,false,false,e843ba29-71e0-4c22-8257-d25681142e6f,1:00:10,735,Iona
2014/08/12,2013/11/30,22:32:22,14:19:22,Human Resources,49-066-1606,GH,14,1528,177,830,824,509,99,281,155,407,33,164,280,176,31,393,20,Sales,90,67,147,181,93,59,151,68,899,233,677,253,136,ut nulla sed accumsan felis ut,40,false,true,94,660,54,41,1,9,5,521,50,1722,888,1172,443,1480,96,796,1711,1727,11,1507,1031,1021,1850,997,1189,1907,1493,553,1050,1484,584,329,66,236,905,270,158,1819,1664,1739,1000,1590,723,396,653,1963,921,1297,758,1309,382,1407,1135,756,889,372,387,798,534,1561,130,433,1249,440,1603,597,723,1617,1178,1764,128,561,1457,537,43,16,52,38,5,47,1,40,45,88,61,PM,true,false,3a7924a3-06cc-4f67-9d36-d35f5a17a92c,13:04:43,323,Ingeberg
